Song_Name,Album_name,Artist_name,Album_album_type,Album_id,Album_image,Album_label,Album_popularity,Album_release,Album_total_tracks,Artist_followers,Artist_genres,Artist_id,Artist_images,Artist_popularity,Song_Explicit,Song_Top_Tags_lfm,Song_acousticness,Song_danceability,Song_duration_ms,Song_energy,Song_id,Song_instrumentalness,Song_key,Song_liveness,Song_loudness,Song_mode,Song_popularity,Song_speechiness,Song_tempo,Song_time_signature,Song_track_number,Song_valence,Artist_image
Real Underground,Real Underground,NGC Daddy,single,0UCLKwhMlg3fUozSrV1kSj,https://i.scdn.co/image/ab67616d0000b27345b023648a3676b52eb871cf,NGC Daddy,55,2022-02-10,1,330329,"['trap carioca', 'trap pesado']",2iNFFCEAFdfAV5hPdpMk6x,,58,True,,0.0959,0.792,130233,0.554,2GZ7KgPU32sH4DdHlvFxal,0.0,2,0.254,-7.911,1,62,0.0719,129.033,4,1,0.508,https://i.scdn.co/image/ab6761610000e5eb611699c973240a0debe117a2
A Deusa Da Passarela - Beija-Flor de Nilópolis,Samba De Exaltação,Dudu Nobre,album,0gUlrQbUiHzhi9WnLFMkiE,https://i.scdn.co/image/ab67616d0000b2732f42623b73437b0121fa071b,Solution Music/Ritmo Quente,45,2022-02-11,15,301375,"['axe', 'pagode', 'samba', 'samba de roda', 'samba moderno', 'samba-enredo', 'velha guarda']",4Mw0vJsDXTZF7kn7EsdNoD,,55,False,,0.547,0.421,162979,0.683,1ALq8R4GWNAia97724u8zB,0.0,5,0.193,-6.191,0,29,0.0582,138.324,4,4,0.673,https://i.scdn.co/image/ab6761610000e5eb56a296be21bdab215261630e
Rimo Igual Pac (Freestyle),Troféu,Major RD,album,5M274S1cUS8suxN7aD4hvp,https://i.scdn.co/image/ab67616d0000b273144e2275325c945f080576a1,Major RD,65,2021-09-27,10,55574,"['brazilian hip hop', 'trap carioca']",76hYPcWML9NGEh8LashwT5,,64,True,,0.523,0.84,172896,0.526,4vpEckyBBwUBg83gIm4NmJ,9.26e-05,5,0.0993,-5.164,0,60,0.142,119.9,4,8,0.605,https://i.scdn.co/image/ab6761610000e5eb859f8a986e8fe5a23f27321a
Grime de Puto,Grime de Puto,Derxan,single,29OsYPqo9sR1k3K7lzMvi1,https://i.scdn.co/image/ab67616d0000b2738bd06f00823272fcd51e513b,FIGA MUSIC,35,2022-02-11,1,7746,['grime brasileiro'],6AVuBAosGPLRJYwoJ88wtt,,40,True,,0.0925,0.587,178723,0.805,4P5JjVyCPebFlhETcpPQlk,0.0,6,0.189,-7.44,0,42,0.391,137.162,4,1,0.833,https://i.scdn.co/image/ab6761610000e5ebd1ba094ada204a0974f7f735
BUNNY GIRL VS BEAT NEYMAR,BUNNY GIRL VS BEAT NEYMAR,DJ RaMeMes (O DESTRUIDOR DO FUNK),single,69TU6R7L9ZsYGC7htYoROW,https://i.scdn.co/image/ab67616d0000b2730945c96b296120906250d4b5,RaMeMes Records,35,2021-12-31,1,3156,[],6Xk7H8ufVBIZcgGWAhY9b3,,37,True,,0.266,0.772,158769,0.902,6TSvpsIGILbJonXMF6ESZh,1.63e-06,2,0.0674,-0.601,1,42,0.346,86.796,3,1,0.961,https://i.scdn.co/image/ab6761610000e5eb9fa3b9f1200289e5556b51f4
Olha pro Meu Pulso,Olha pro Meu Pulso,Ferrin,single,1brj9lL0N7njnOwwG4b7im,https://i.scdn.co/image/ab67616d0000b2734da9a89512cab247649fbbed,No Silent Baths inc.,13,2022-02-11,1,2,[],5cjpLYrhykfQBoI9GtL5KH,,6,False,,0.0715,0.717,170851,0.571,5xWJheiYhR4QqthtOQpn60,0.0,7,0.135,-7.725,0,19,0.0753,127.036,4,1,0.635,https://i.scdn.co/image/ab67616d0000b2734da9a89512cab247649fbbed
AINDA,AINDA,POCAH,single,7vNhEXnxTFxeSDbWgLViMC,https://i.scdn.co/image/ab67616d0000b273284338c4de2e037515bb7373,WM Brazil,58,2022-02-10,1,274443,"['funk carioca', 'pagode baiano']",11iQCRz636WFdHj42qxAF6,,66,False,,0.302,0.84,128471,0.856,3VNrud6PPcf7y0Eg7PpOZe,0.0,8,0.501,-0.517,1,65,0.365,84.981,4,1,0.862,https://i.scdn.co/image/ab6761610000e5eb2ca627b18ec09cb074d06873
Vendaval - Ao Vivo,Vendaval (Ao Vivo),Marvvila,single,0CdhqJwe0aAWf0Oz7SYSiF,https://i.scdn.co/image/ab67616d0000b273f6975520abb08b22a6e4b89c,WM Brazil,50,2022-02-04,1,13124,['pagode novo'],0pC5o5Jo4P8uNn2SSNmpXz,,55,False,,0.804,0.587,233236,0.683,2fkVehr2ZC9tEI2EpeOIOT,0.0,9,0.166,-6.064,1,57,0.0344,140.028,4,1,0.599,https://i.scdn.co/image/ab6761610000e5ebf753b1371e2c85706f9ed6fc
Neurose de Novinha,Neurose de Novinha,Puterrier,single,1cNsHEPB7GISuYA5bUF00A,https://i.scdn.co/image/ab67616d0000b273e7e13972662b4b4912c04f72,Puterrier,31,2022-02-17,1,997,[],0zbO4WWM2wJM3ulFmCbMwB,,30,True,,0.0244,0.808,126928,0.658,5qqIaCm4gkLFjDcozw7WDC,0.0,2,0.0773,-5.183,1,37,0.36,149.889,4,1,0.957,https://i.scdn.co/image/ab6761610000e5eb5ae4370982b427fd9d125ffc
TROPA DAS SOLTINHAS,TROPA DAS SOLTINHAS,Bianca,single,0gLKqtVCVOcI7eGz6rJuIZ,https://i.scdn.co/image/ab67616d0000b2737415e34674b6eac75b23fcb8,Sony Music Entertainment,48,2022-02-09,1,10763,"['funk carioca', 'pop nacional']",7Jb6GR4PIxHSkDJK8MWuVg,,50,True,,0.464,0.714,146143,0.878,7k82WCRSzfByzGXVYRgAvb,0.0,6,0.0868,-3.203,0,54,0.152,159.998,4,1,0.702,https://i.scdn.co/image/ab6761610000e5ebb9d049c19cadc1498f4981fa
